Date,Open,High,Low,Close
02/07/2024,"49,106.55","49,106.55","49,106.55","49,106.55"
02/06/2024,"48,741.00","48,741.00","48,741.00","48,741.00"
02/05/2024,"48,582.45","48,582.45","48,582.45","48,582.45"
02/02/2024,"48,803.81","48,803.81","48,803.81","48,803.81"
02/01/2024,"48,358.84","48,358.84","48,358.84","48,358.84"
01/31/2024,"47,754.20","47,754.20","47,754.20","47,754.20"
01/30/2024,"48,573.84","48,573.84","48,573.84","48,573.84"
01/29/2024,"48,645.03","48,645.03","48,645.03","48,645.03"
01/26/2024,"48,227.60","48,227.60","48,227.60","48,227.60"
01/25/2024,"48,233.97","48,233.97","48,233.97","48,233.97"
01/24/2024,"47,991.09","47,991.09","47,991.09","47,991.09"
01/23/2024,"48,010.70","48,010.70","48,010.70","48,010.70"
01/22/2024,"47,905.55","47,905.55","47,905.55","47,905.55"
01/19/2024,"47,712.74","47,712.74","47,712.74","47,712.74"
01/18/2024,"47,145.65","47,145.65","47,145.65","47,145.65"
01/17/2024,"46,750.77","46,750.77","46,750.77","46,750.77"
01/16/2024,"47,031.04","47,031.04","47,031.04","47,031.04"
01/12/2024,"47,252.49","47,252.49","47,252.49","47,252.49"
01/11/2024,"47,238.66","47,238.66","47,238.66","47,238.66"
01/10/2024,"47,300.12","47,300.12","47,300.12","47,300.12"
01/09/2024,"47,062.51","47,062.51","47,062.51","47,062.51"
01/08/2024,"47,164.21","47,164.21","47,164.21","47,164.21"
01/05/2024,"46,472.48","46,472.48","46,472.48","46,472.48"
01/04/2024,"46,392.52","46,392.52","46,392.52","46,392.52"
01/03/2024,"46,533.00","46,533.00","46,533.00","46,533.00"
01/02/2024,"47,019.06","47,019.06","47,019.06","47,019.06"
12/29/2023,"47,320.56","47,320.56","47,320.56","47,320.56"
12/28/2023,"47,526.51","47,526.51","47,526.51","47,526.51"
12/27/2023,"47,524.00","47,524.00","47,524.00","47,524.00"
12/26/2023,"47,438.84","47,438.84","47,438.84","47,438.84"
12/22/2023,"47,201.13","47,201.13","47,201.13","47,201.13"
12/21/2023,"47,090.23","47,090.23","47,090.23","47,090.23"
12/20/2023,"46,569.76","46,569.76","46,569.76","46,569.76"
12/19/2023,"47,296.79","47,296.79","47,296.79","47,296.79"
12/18/2023,"46,953.72","46,953.72","46,953.72","46,953.72"
12/15/2023,"46,761.76","46,761.76","46,761.76","46,761.76"
12/14/2023,"46,803.48","46,803.48","46,803.48","46,803.48"
12/13/2023,"46,536.18","46,536.18","46,536.18","46,536.18"
12/12/2023,"45,809.56","45,809.56","45,809.56","45,809.56"
12/11/2023,"45,644.95","45,644.95","45,644.95","45,644.95"
12/08/2023,"45,468.25","45,468.25","45,468.25","45,468.25"
12/07/2023,"45,262.06","45,262.06","45,262.06","45,262.06"
12/06/2023,"44,909.38","44,909.38","44,909.38","44,909.38"
12/05/2023,"45,075.83","45,075.83","45,075.83","45,075.83"
12/04/2023,"45,174.71","45,174.71","45,174.71","45,174.71"
12/01/2023,"45,347.68","45,347.68","45,347.68","45,347.68"
11/30/2023,"44,953.74","44,953.74","44,953.74","44,953.74"
11/29/2023,"44,792.70","44,792.70","44,792.70","44,792.70"
11/28/2023,"44,775.77","44,775.77","44,775.77","44,775.77"
11/27/2023,"44,743.34","44,743.34","44,743.34","44,743.34"
11/24/2023,"44,833.72","44,833.72","44,833.72","44,833.72"
11/22/2023,"44,774.16","44,774.16","44,774.16","44,774.16"
11/21/2023,"44,581.75","44,581.75","44,581.75","44,581.75"
11/20/2023,"44,714.78","44,714.78","44,714.78","44,714.78"
11/17/2023,"44,391.29","44,391.29","44,391.29","44,391.29"
11/16/2023,"44,274.35","44,274.35","44,274.35","44,274.35"
11/15/2023,"44,325.05","44,325.05","44,325.05","44,325.05"
