Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,149.339996,149.729996,147.910004,147.990005,146.381744,2072500
2020-09-17,147.389999,148.770004,146.550003,147.610001,146.005875,2391200
2020-09-18,147.720001,149.520004,147.259995,148.820007,147.202744,3614800
2020-09-21,148.690002,149.990005,146.449997,149.860001,148.231430,3360000
2020-09-22,151.149994,154.440002,150.929993,154.080002,152.405563,4334500
2020-09-23,153.880005,155.199997,150.369995,151.009995,149.368927,2801300
2020-09-24,151.619995,153.559998,150.100006,152.000000,150.348175,3223100
2020-09-25,151.860001,155.160004,151.750000,154.350006,152.672638,2743300
2020-09-28,154.949997,157.710007,154.649994,156.460007,154.759705,3627600
2020-09-29,156.750000,158.429993,155.869995,156.940002,155.234497,2784200
2020-09-30,157.449997,159.149994,156.500000,157.419998,155.709259,2806000
2020-10-01,158.410004,160.889999,158.100006,158.600006,156.876450,3866000
2020-10-02,156.970001,159.990005,156.160004,159.100006,157.371017,1978700
2020-10-05,159.990005,162.309998,159.990005,161.490005,159.735046,2268600
2020-10-06,161.470001,161.979996,157.610001,158.410004,156.688507,2932600
2020-10-07,160.059998,161.610001,159.610001,160.679993,158.933838,2927000
2020-10-08,162.600006,163.320007,161.389999,161.860001,160.101013,2189200
2020-10-09,162.199997,164.809998,162.100006,163.710007,161.930923,2582700
2020-10-12,164.300003,165.490005,163.619995,164.570007,162.781570,2436300
2020-10-13,164.570007,166.679993,164.149994,165.639999,163.839935,2015200
2020-10-14,165.979996,166.160004,162.600006,163.970001,162.188095,2284700
2020-10-15,161.839996,165.460007,161.119995,165.460007,163.661896,1859000
2020-10-16,165.910004,167.250000,164.360001,164.919998,163.127762,5047900
2020-10-19,166.210007,166.960007,163.820007,164.050003,162.267212,2322500
2020-10-20,164.949997,167.419998,163.820007,164.869995,163.078308,2698500
2020-10-21,165.750000,166.199997,162.949997,163.289993,161.515488,3033500
2020-10-22,163.070007,163.380005,159.339996,159.600006,157.865585,3647400
2020-10-23,160.389999,160.389999,158.809998,160.229996,158.488739,1816800
2020-10-26,158.839996,159.389999,156.300003,157.970001,156.253296,2310600
2020-10-27,158.070007,158.880005,156.679993,157.029999,155.323502,2406100
2020-10-28,154.910004,157.270004,154.110001,155.210007,153.523285,2655700
2020-10-29,155.240005,156.089996,153.369995,154.250000,152.573715,2157700
2020-10-30,153.320007,154.139999,150.800003,152.220001,150.565781,3694100
2020-11-02,154.000000,155.119995,152.800003,154.389999,152.712204,2674300
2020-11-03,156.320007,158.710007,155.429993,156.729996,155.026764,2545400
2020-11-04,157.220001,159.490005,155.250000,156.619995,154.917953,3156600
2020-11-05,159.740005,159.869995,156.539993,158.630005,156.906143,3114900
2020-11-06,158.649994,161.899994,158.529999,161.500000,159.744919,3498000
2020-11-09,163.149994,163.160004,154.750000,154.910004,153.226547,5092800
2020-11-10,157.039993,159.059998,156.559998,158.070007,156.352219,3577900
2020-11-11,159.449997,162.570007,158.750000,159.690002,157.954620,3336500
2020-11-12,159.669998,160.990005,158.639999,159.529999,157.796341,2708500
2020-11-13,160.990005,163.449997,160.600006,162.880005,161.109940,2765800
2020-11-16,165.000000,165.990005,163.350006,165.179993,163.384949,5035600
2020-11-17,164.000000,164.710007,160.509995,163.039993,161.934830,6299900
2020-11-18,165.940002,172.119995,164.550003,166.850006,165.719025,13092300
2020-11-19,168.710007,173.440002,167.899994,171.369995,170.208374,6834900
2020-11-20,172.220001,174.410004,171.449997,172.309998,171.141998,6652900
2020-11-23,174.250000,179.020004,173.589996,177.559998,176.356400,5755700
2020-11-24,179.759995,179.839996,177.100006,177.860001,176.654388,4688400
2020-11-25,177.729996,180.479996,177.350006,179.820007,178.601105,3780700
2020-11-27,180.809998,181.110001,178.949997,179.770004,178.551437,2371900
2020-11-30,178.250000,180.070007,176.240005,179.529999,178.313049,8010000
2020-12-01,179.809998,181.169998,177.100006,179.050003,177.836319,5034900
2020-12-02,178.020004,178.210007,175.470001,176.410004,175.214203,3109300
2020-12-03,176.470001,176.470001,173.779999,174.919998,173.734299,4214600
2020-12-04,174.380005,175.160004,173.229996,175.029999,173.843552,2935700
2020-12-07,174.270004,174.949997,171.410004,172.910004,171.737930,3430800
2020-12-08,172.500000,173.779999,171.740005,172.720001,171.549225,2682200
2020-12-09,173.350006,174.919998,172.410004,174.070007,172.890076,2853800
2020-12-10,173.589996,174.240005,172.070007,172.399994,171.231384,2643700
2020-12-11,171.500000,172.750000,171.070007,171.710007,170.546082,2676500
2020-12-14,172.960007,172.960007,170.169998,170.990005,169.830948,4016400
2020-12-15,170.649994,172.779999,170.649994,171.410004,170.248093,3487900
2020-12-16,172.009995,172.990005,170.710007,171.690002,170.526215,2193700
2020-12-17,172.000000,172.279999,170.289993,171.240005,170.079254,3495300
2020-12-18,171.179993,172.179993,168.970001,170.419998,169.264801,6715800
2020-12-21,169.630005,173.059998,168.940002,171.759995,170.595718,4077400
2020-12-22,172.399994,173.110001,171.460007,172.350006,171.181732,3103200
2020-12-23,172.009995,176.330002,171.889999,174.910004,173.724380,4753000
2020-12-24,175.979996,176.509995,174.669998,175.190002,174.002472,1941200
2020-12-28,177.110001,177.460007,174.889999,176.389999,175.194351,2442000
2020-12-29,177.110001,177.770004,174.460007,175.039993,173.853485,2359700
2020-12-30,175.699997,176.059998,172.820007,173.880005,172.701355,1935200
2020-12-31,174.410004,176.669998,174.100006,176.529999,175.333389,2571300
2021-01-04,176.509995,178.089996,174.119995,177.630005,176.425934,3463100
2021-01-05,176.800003,181.970001,176.429993,180.369995,179.147354,4843300
2021-01-06,180.330002,189.470001,180.110001,188.919998,187.639404,5610100
2021-01-07,189.210007,192.350006,189.169998,191.100006,189.804642,4226700
2021-01-08,191.580002,193.880005,190.809998,193.600006,192.287689,3321500
2021-01-11,193.039993,199.500000,192.190002,195.279999,193.956299,7219100
2021-01-12,196.169998,199.289993,195.649994,199.100006,197.750412,3866700
2021-01-13,198.520004,199.960007,195.279999,196.820007,195.485855,4098200
2021-01-14,196.990005,199.399994,196.899994,198.009995,196.667786,3321200
2021-01-15,197.649994,198.850006,194.009995,194.800003,193.479553,4289900
2021-01-19,194.419998,194.750000,187.199997,188.160004,186.884567,5347800
2021-01-20,188.500000,188.699997,184.539993,188.300003,187.023605,3443200
2021-01-21,190.100006,194.089996,189.000000,191.270004,189.973480,4585100
2021-01-22,190.899994,192.380005,189.479996,191.910004,190.609146,3257100
2021-01-25,191.559998,193.110001,189.229996,190.149994,188.861069,3423900
2021-01-26,190.110001,190.559998,186.669998,187.699997,186.427689,3463600
2021-01-27,187.610001,187.699997,176.820007,178.279999,177.071533,6985900
2021-01-28,177.929993,185.419998,177.759995,183.580002,182.335617,3965200
2021-01-29,182.119995,183.500000,180.259995,181.169998,179.941940,3612300
2021-02-01,182.179993,185.000000,179.679993,183.570007,182.325684,2637300
2021-02-02,185.500000,189.039993,185.179993,185.589996,184.331970,2920500
2021-02-03,185.190002,186.929993,183.699997,185.110001,183.855225,2135400
2021-02-04,185.869995,188.740005,184.550003,188.589996,187.311646,2309500
2021-02-05,189.490005,190.330002,187.889999,188.860001,187.579819,2218900
2021-02-08,192.339996,194.479996,190.490005,193.949997,192.635300,3076400
2021-02-09,194.130005,196.250000,193.889999,194.289993,192.972992,2868600
2021-02-10,193.889999,194.449997,190.119995,192.440002,191.135559,2713500
2021-02-11,192.039993,193.169998,190.339996,190.410004,189.119324,1862300
2021-02-12,191.050003,191.869995,190.199997,191.429993,190.132385,1821500
2021-02-16,191.139999,192.580002,190.149994,190.589996,189.972900,2500300
2021-02-17,189.199997,194.220001,189.100006,193.600006,192.973175,3459300
2021-02-18,188.270004,191.559998,188.000000,191.410004,190.790253,2983500
2021-02-19,191.949997,192.449997,188.360001,188.820007,188.208649,3120100
2021-02-22,188.119995,190.410004,187.619995,188.990005,188.378098,2152600
2021-02-23,188.089996,188.729996,184.110001,186.360001,185.756607,2828100
2021-02-24,186.020004,187.729996,184.300003,187.080002,186.474274,3738400
2021-02-25,188.520004,190.300003,184.580002,185.080002,184.480759,4355600
2021-02-26,186.149994,186.830002,182.179993,183.440002,182.846069,4340400
2021-03-01,185.949997,187.580002,184.850006,186.089996,185.487473,3683500
2021-03-02,188.009995,193.580002,172.169998,173.490005,172.928284,22090500
2021-03-03,175.000000,176.869995,172.589996,173.610001,173.047882,8285300
2021-03-04,172.369995,174.610001,166.830002,169.820007,169.270172,7111700
2021-03-05,170.279999,174.979996,167.050003,172.610001,172.051132,6008100
2021-03-08,175.270004,178.470001,173.600006,176.869995,176.297333,4558600
2021-03-09,178.320007,180.740005,177.199997,179.179993,178.599854,3752400
2021-03-10,179.970001,181.630005,178.089996,178.580002,178.001801,3314800
2021-03-11,179.149994,180.089996,177.399994,179.320007,178.739410,3045200
2021-03-12,179.899994,180.350006,178.559998,180.009995,179.427155,2441900
2021-03-15,180.440002,181.789993,178.570007,181.100006,180.513641,3453100
2021-03-16,179.960007,180.690002,178.119995,180.210007,179.626526,3437300
2021-03-17,179.509995,179.660004,177.869995,178.399994,177.822372,2929300
2021-03-18,177.240005,181.149994,176.679993,179.610001,179.028458,2859300
2021-03-19,179.889999,188.300003,179.630005,187.550003,186.942764,7745200
2021-03-22,187.100006,190.380005,186.740005,188.039993,187.431168,3952200
2021-03-23,187.770004,190.789993,187.429993,188.919998,188.308319,2920200
2021-03-24,188.910004,189.460007,187.380005,188.279999,187.670395,2489700
2021-03-25,188.089996,193.369995,187.669998,192.699997,192.076080,3444700
2021-03-26,194.300003,201.229996,194.029999,200.949997,200.299362,6046100
2021-03-29,200.089996,201.960007,197.509995,198.210007,197.568253,3231800
2021-03-30,198.080002,201.360001,197.610001,199.649994,199.003571,2810800
2021-03-31,200.039993,201.330002,198.029999,198.070007,197.428696,3556600
2021-04-01,198.139999,201.470001,196.360001,200.720001,200.070114,2730200
2021-04-05,202.000000,205.800003,202.000000,205.350006,204.685120,2833000
2021-04-06,204.399994,207.380005,202.949997,205.429993,204.764862,2494900
2021-04-07,205.750000,206.000000,204.080002,204.449997,203.788025,2100400
2021-04-08,204.350006,204.809998,202.419998,203.460007,202.801254,3032600
2021-04-09,204.000000,205.669998,203.539993,205.360001,204.695084,2900500
2021-04-12,205.279999,206.350006,203.479996,205.100006,204.435944,3191300
2021-04-13,205.559998,206.000000,203.509995,204.940002,204.276443,2393400
2021-04-14,204.279999,206.000000,203.029999,205.710007,205.043961,2171300
2021-04-15,206.020004,206.210007,203.529999,205.759995,205.093781,3370300
2021-04-16,206.000000,209.490005,205.830002,208.550003,207.874756,4342300
2021-04-19,209.490005,210.860001,208.250000,208.649994,207.974426,2924500
2021-04-20,208.910004,209.490005,206.429993,207.270004,206.598907,2089800
2021-04-21,207.240005,208.410004,206.300003,206.770004,206.100525,2836900
2021-04-22,207.279999,207.649994,203.639999,205.570007,204.904419,2499300
2021-04-23,205.940002,206.800003,203.919998,206.009995,205.342972,2444600
2021-04-26,205.860001,206.020004,202.850006,203.630005,202.970688,2675700
2021-04-27,204.220001,205.330002,203.309998,204.360001,203.698334,2260000
2021-04-28,203.929993,205.250000,203.440002,204.460007,203.798004,1598800
2021-04-29,206.119995,208.410004,205.770004,207.380005,206.708557,1884900
2021-04-30,206.210007,208.149994,205.979996,207.259995,206.588928,1802000
2021-05-03,209.179993,212.820007,208.820007,211.279999,210.595917,2249700
2021-05-04,209.610001,211.839996,209.100006,211.610001,210.924850,2203300
2021-05-05,212.649994,213.660004,211.679993,212.410004,211.722260,2509000
2021-05-06,213.660004,213.919998,211.940002,213.000000,212.310349,2226000
2021-05-07,213.289993,215.389999,212.809998,214.710007,214.014816,2298500
2021-05-10,215.509995,217.389999,213.720001,214.029999,213.337021,3092700
2021-05-11,212.520004,212.759995,206.949997,209.240005,208.562531,3297100
2021-05-12,207.960007,208.679993,202.759995,202.960007,202.302872,3857300
2021-05-13,204.220001,210.130005,203.889999,208.610001,207.934570,3132300
2021-05-14,210.210007,212.259995,209.429993,211.160004,210.476318,2650300
2021-05-17,212.839996,213.639999,209.360001,210.020004,209.340012,2583700
2021-05-18,211.210007,211.679993,206.210007,206.429993,206.429993,4794900
2021-05-19,210.309998,219.820007,209.800003,219.009995,219.009995,13378700
2021-05-20,218.279999,222.800003,217.070007,221.789993,221.789993,7086300
2021-05-21,222.210007,227.080002,221.860001,225.089996,225.089996,5084800
2021-05-24,226.339996,228.500000,225.330002,225.410004,225.410004,3821000
2021-05-25,225.550003,227.270004,223.259995,225.300003,225.300003,4103000
2021-05-26,226.169998,227.949997,225.990005,227.110001,227.110001,3186800
2021-05-27,227.929993,228.839996,226.050003,227.369995,227.369995,6623100
2021-05-28,228.000000,228.350006,226.179993,226.919998,226.919998,2632400
2021-06-01,227.559998,228.789993,226.050003,227.270004,227.270004,3426400
2021-06-02,226.410004,229.139999,226.149994,228.380005,228.380005,3331400
2021-06-03,228.339996,230.229996,227.009995,229.179993,229.179993,3155400
2021-06-04,230.199997,231.610001,228.710007,231.339996,231.339996,3085100
2021-06-07,231.500000,232.660004,230.389999,230.889999,230.889999,2221700
2021-06-08,234.270004,236.360001,232.550003,235.100006,235.100006,3441700
2021-06-09,234.600006,236.800003,231.889999,231.940002,231.940002,3372900
2021-06-10,231.660004,233.699997,231.399994,231.660004,231.660004,2579400
2021-06-11,231.789993,232.979996,231.789993,232.940002,232.940002,2510200
2021-06-14,233.160004,233.500000,231.550003,233.070007,233.070007,2904200
2021-06-15,233.009995,233.009995,230.750000,232.570007,232.570007,2518000
2021-06-16,232.699997,233.000000,229.559998,231.259995,231.259995,2767600
2021-06-17,230.550003,232.929993,229.830002,231.220001,231.220001,2826600
2021-06-18,229.860001,231.369995,228.009995,230.529999,230.529999,4478200
2021-06-21,231.410004,234.039993,231.250000,233.770004,233.770004,3049700
2021-06-22,234.490005,237.860001,233.880005,237.210007,237.210007,2901400
2021-06-23,236.869995,237.970001,235.839996,237.309998,237.309998,2246400
2021-06-24,239.440002,239.860001,238.320007,239.839996,239.839996,1815526
